program_label,borocode,county,census_tract,code,total_units,number_reported,est_total_occupied,diff_occupied_reported,people_total,id_100,in_floddplain_100,in_floodplain_100,id_500,in_floddplain_500,in_floodplain_500
Housing Choice Vouchers,1.0,New York County,30300.0,36061030300,69.0,54.0,58.65,4.649999999999999,88.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,30700.0,36061030700,25.0,20.0,21.0,1.0,29.0,,0,0,0.0,1,1
Housing Choice Vouchers,1.0,New York County,30900.0,36061030900,367.0,293.0,308.28,15.279999999999973,518.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,200.0,36005000200,233.0,185.0,195.72,10.719999999999999,420.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,400.0,36005000400,97.0,76.0,83.42,7.420000000000002,222.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,1600.0,36005001600,211.0,161.0,192.01000000000002,31.01000000000002,446.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,1900.0,36005001900,94.0,72.0,85.54,13.540000000000006,158.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,2000.0,36005002000,147.0,116.0,124.95,8.950000000000003,369.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,2500.0,36005002500,168.0,133.0,141.12,8.120000000000005,366.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,2701.0,36005002701,230.0,182.0,195.5,13.5,238.0,,0,0,,0,0
Housing Choice Vouchers,2.0,Bronx County,2702.0,36005002702,656.0,515.0,564.16,49.15999999999997,1171.0,,0,0,,0,0
Housing Choice Vouchers,2.0,Bronx County,2800.0,36005002800,117.0,94.0,101.79,7.790000000000006,198.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,3100.0,36005003100,109.0,86.0,93.74,7.739999999999995,218.0,,0,0,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,3300.0,36005003300,433.0,342.0,368.05,26.05000000000001,772.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,3500.0,36005003500,138.0,108.0,120.06,12.060000000000002,241.0,,0,0,,0,0
Housing Choice Vouchers,2.0,Bronx County,3700.0,36005003700,20.0,16.0,17.0,1.0,25.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,3800.0,36005003800,151.0,113.0,140.43,27.430000000000007,295.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,3900.0,36005003900,274.0,217.0,230.16,13.159999999999997,303.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,4001.0,36005004001,28.0,22.0,23.8,1.8000000000000007,61.0,,0,0,,0,0
Housing Choice Vouchers,2.0,Bronx County,4100.0,36005004100,625.0,489.0,543.75,54.75,1186.0,,0,0,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,4200.0,36005004200,323.0,242.0,300.39000000000004,58.39000000000004,544.0,,0,0,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,4300.0,36005004300,1012.0,791.0,870.3199999999999,79.31999999999994,1942.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,4400.0,36005004400,21.0,17.0,17.849999999999998,0.8499999999999979,44.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,4600.0,36005004600,110.0,87.0,93.5,6.5,226.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,4800.0,36005004800,129.0,102.0,109.64999999999999,7.6499999999999915,197.0,,0,0,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,5001.0,36005005001,214.0,168.0,184.04,16.039999999999992,371.0,,0,0,,0,0
Housing Choice Vouchers,2.0,Bronx County,5002.0,36005005002,224.0,175.0,194.88,19.879999999999995,271.0,,0,0,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,5100.0,36005005100,50.0,37.0,46.5,9.5,87.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,5200.0,36005005200,43.0,34.0,36.98,2.979999999999997,76.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,5300.0,36005005300,1091.0,920.0,949.17,29.16999999999996,2145.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,5400.0,36005005400,172.0,135.0,147.92,12.919999999999987,313.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,5600.0,36005005600,106.0,83.0,92.22,9.219999999999999,170.0,,0,0,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,5902.0,36005005902,100.0,79.0,85.0,6.0,129.0,,0,0,,0,0
Housing Choice Vouchers,2.0,Bronx County,6000.0,36005006000,42.0,33.0,36.54,3.539999999999999,68.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,6200.0,36005006200,220.0,175.0,187.0,12.0,312.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,6300.0,36005006300,304.0,239.0,261.44,22.439999999999998,426.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,6400.0,36005006400,153.0,122.0,128.51999999999998,6.519999999999982,282.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,6500.0,36005006500,239.0,183.0,217.49,34.49000000000001,345.0,7848.0,1,1,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,6700.0,36005006700,115.0,88.0,103.5,15.5,181.0,,0,0,0.0,1,1
Housing Choice Vouchers,2.0,Bronx County,6800.0,36005006800,162.0,129.0,137.7,8.699999999999989,351.0,,0,0,,0,0
Housing Choice Vouchers,2.0,Bronx County,6900.0,36005006900,244.0,187.0,219.6,32.599999999999994,392.0,7848.0,1,1,0.0,1,1
